B00, 0
B01, 0
B02, 0
B03, 10
B03, Trade, 6.000, 136, B03, B10, 1
B03, Trade, 10.048, 112, B03, B08, 1
B03, Trade, 13.381, 128, B03, B10, 1
B03, Trade, 16.810, 108, B03, B08, 1
B03, Trade, 28.190, 124, B03, B08, 1
B03, Trade, 45.714, 127, B03, B09, 1
B03, Trade, 52.476, 132, B03, B10, 1
B03, Trade, 62.619, 117, B03, B08, 1
B03, Trade, 68.476, 121, B03, B08, 1
B03, Trade, 73.476, 118, B03, B09, 1
B04, 0
B05, 3
B05, Trade, 21.952, 69, B05, S00, 1
B05, Trade, 45.429, 76, S01, B05, 1
B05, Trade, 52.524, 96, B05, S02, 1
B06, 1
B06, Trade, 88.952, 104, B06, S02, 1
B07, 7
B07, Trade, 3.095, 108, B07, S01, 1
B07, Trade, 22.143, 113, B07, S01, 1
B07, Trade, 47.714, 99, B07, S03, 1
B07, Trade, 49.619, 93, S00, B07, 1
B07, Trade, 61.000, 107, B07, S03, 1
B07, Trade, 67.857, 95, B07, S01, 1
B07, Trade, 70.381, 85, B07, S00, 1
B08, 10
B08, Trade, 7.810, 95, B08, S02, 1
B08, Trade, 10.048, 112, B03, B08, 1
B08, Trade, 16.810, 108, B03, B08, 1
B08, Trade, 24.762, 112, S04, B08, 1
B08, Trade, 28.190, 124, B03, B08, 1
B08, Trade, 39.952, 109, B08, S01, 1
B08, Trade, 41.000, 130, B08, S03, 1
B08, Trade, 42.667, 94, S02, B08, 1
B08, Trade, 62.619, 117, B03, B08, 1
B08, Trade, 68.476, 121, B03, B08, 1
B09, 7
B09, Trade, 17.429, 100, B09, S03, 1
B09, Trade, 45.714, 127, B03, B09, 1
B09, Trade, 52.095, 97, B09, S03, 1
B09, Trade, 73.476, 118, B03, B09, 1
B09, Trade, 90.905, 109, B09, S03, 1
B09, Trade, 92.333, 127, S00, B09, 1
B09, Trade, 94.810, 79, B09, S01, 1
B10, 12
B10, Trade, 6.000, 136, B03, B10, 1
B10, Trade, 8.619, 86, S03, B10, 1
B10, Trade, 10.667, 112, B10, S00, 1
B10, Trade, 13.381, 128, B03, B10, 1
B10, Trade, 28.571, 114, S01, B10, 1
B10, Trade, 30.476, 128, B10, S01, 1
B10, Trade, 44.333, 98, S02, B10, 1
B10, Trade, 52.476, 132, B03, B10, 1
B10, Trade, 73.190, 88, S00, B10, 1
B10, Trade, 79.857, 128, S03, B10, 1
B10, Trade, 82.333, 123, B10, S01, 1
B10, Trade, 91.810, 119, B10, S02, 1
S00, 6
S00, Trade, 10.667, 112, B10, S00, 1
S00, Trade, 21.952, 69, B05, S00, 1
S00, Trade, 49.619, 93, S00, B07, 1
S00, Trade, 70.381, 85, B07, S00, 1
S00, Trade, 73.190, 88, S00, B10, 1
S00, Trade, 92.333, 127, S00, B09, 1
S01, 9
S01, Trade, 3.095, 108, B07, S01, 1
S01, Trade, 22.143, 113, B07, S01, 1
S01, Trade, 28.571, 114, S01, B10, 1
S01, Trade, 30.476, 128, B10, S01, 1
S01, Trade, 39.952, 109, B08, S01, 1
S01, Trade, 45.429, 76, S01, B05, 1
S01, Trade, 67.857, 95, B07, S01, 1
S01, Trade, 82.333, 123, B10, S01, 1
S01, Trade, 94.810, 79, B09, S01, 1
S02, 6
S02, Trade, 7.810, 95, B08, S02, 1
S02, Trade, 42.667, 94, S02, B08, 1
S02, Trade, 44.333, 98, S02, B10, 1
S02, Trade, 52.524, 96, B05, S02, 1
S02, Trade, 88.952, 104, B06, S02, 1
S02, Trade, 91.810, 119, B10, S02, 1
S03, 8
S03, Trade, 8.619, 86, S03, B10, 1
S03, Trade, 17.429, 100, B09, S03, 1
S03, Trade, 41.000, 130, B08, S03, 1
S03, Trade, 47.714, 99, B07, S03, 1
S03, Trade, 52.095, 97, B09, S03, 1
S03, Trade, 61.000, 107, B07, S03, 1
S03, Trade, 79.857, 128, S03, B10, 1
S03, Trade, 90.905, 109, B09, S03, 1
S04, 1
S04, Trade, 24.762, 112, S04, B08, 1
S05, 0
S06, 0
S07, 0
S08, 0
S09, 0
