B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 53.095, 75, B04, S02, 1
B05, 1
B05, Trade, 40.905, 64, B05, S00, 1
B06, 6
B06, Trade, 0.571, 110, B06, S02, 1
B06, Trade, 12.333, 57, S00, B06, 1
B06, Trade, 23.667, 89, S03, B06, 1
B06, Trade, 43.619, 107, B06, S03, 1
B06, Trade, 91.000, 109, B06, S00, 1
B06, Trade, 92.667, 100, B06, S00, 1
B07, 5
B07, Trade, 3.667, 95, S00, B07, 1
B07, Trade, 5.381, 120, B07, S02, 1
B07, Trade, 18.381, 83, S02, B07, 1
B07, Trade, 30.619, 118, B07, S00, 1
B07, Trade, 63.571, 75, B07, S01, 1
B08, 10
B08, Trade, 1.714, 105, S00, B08, 1
B08, Trade, 3.857, 95, B09, B08, 1
B08, Trade, 10.143, 113, B08, S00, 1
B08, Trade, 13.238, 81, B08, S01, 1
B08, Trade, 19.524, 108, S00, B08, 1
B08, Trade, 25.476, 130, B08, S03, 1
B08, Trade, 33.905, 120, B08, S00, 1
B08, Trade, 42.429, 90, B08, S00, 1
B08, Trade, 42.667, 73, S01, B08, 1
B08, Trade, 74.619, 83, S03, B08, 1
B09, 8
B09, Trade, 3.857, 95, B09, B08, 1
B09, Trade, 10.429, 134, B09, B10, 1
B09, Trade, 21.143, 127, B09, B10, 1
B09, Trade, 53.952, 127, B09, B10, 1
B09, Trade, 63.524, 122, B09, B10, 1
B09, Trade, 66.952, 127, B09, B10, 1
B09, Trade, 77.000, 136, B09, B10, 1
B09, Trade, 81.619, 130, B09, B10, 1
B10, 18
B10, Trade, 8.524, 125, B10, S00, 1
B10, Trade, 10.429, 134, B09, B10, 1
B10, Trade, 19.286, 74, S01, B10, 1
B10, Trade, 21.143, 127, B09, B10, 1
B10, Trade, 24.667, 129, B10, S00, 1
B10, Trade, 27.476, 128, B10, S00, 1
B10, Trade, 40.571, 86, S01, B10, 1
B10, Trade, 53.952, 127, B09, B10, 1
B10, Trade, 59.667, 70, S01, B10, 1
B10, Trade, 63.524, 122, B09, B10, 1
B10, Trade, 66.952, 127, B09, B10, 1
B10, Trade, 73.476, 131, B10, S03, 1
B10, Trade, 75.476, 101, S04, B10, 1
B10, Trade, 77.000, 136, B09, B10, 1
B10, Trade, 80.667, 120, B10, S00, 1
B10, Trade, 81.619, 130, B09, B10, 1
B10, Trade, 86.810, 112, S04, B10, 1
B10, Trade, 90.095, 92, B10, S00, 1
S00, 16
S00, Trade, 1.714, 105, S00, B08, 1
S00, Trade, 3.667, 95, S00, B07, 1
S00, Trade, 8.524, 125, B10, S00, 1
S00, Trade, 10.143, 113, B08, S00, 1
S00, Trade, 12.333, 57, S00, B06, 1
S00, Trade, 19.524, 108, S00, B08, 1
S00, Trade, 24.667, 129, B10, S00, 1
S00, Trade, 27.476, 128, B10, S00, 1
S00, Trade, 30.619, 118, B07, S00, 1
S00, Trade, 33.905, 120, B08, S00, 1
S00, Trade, 40.905, 64, B05, S00, 1
S00, Trade, 42.429, 90, B08, S00, 1
S00, Trade, 80.667, 120, B10, S00, 1
S00, Trade, 90.095, 92, B10, S00, 1
S00, Trade, 91.000, 109, B06, S00, 1
S00, Trade, 92.667, 100, B06, S00, 1
S01, 6
S01, Trade, 13.238, 81, B08, S01, 1
S01, Trade, 19.286, 74, S01, B10, 1
S01, Trade, 40.571, 86, S01, B10, 1
S01, Trade, 42.667, 73, S01, B08, 1
S01, Trade, 59.667, 70, S01, B10, 1
S01, Trade, 63.571, 75, B07, S01, 1
S02, 4
S02, Trade, 0.571, 110, B06, S02, 1
S02, Trade, 5.381, 120, B07, S02, 1
S02, Trade, 18.381, 83, S02, B07, 1
S02, Trade, 53.095, 75, B04, S02, 1
S03, 5
S03, Trade, 23.667, 89, S03, B06, 1
S03, Trade, 25.476, 130, B08, S03, 1
S03, Trade, 43.619, 107, B06, S03, 1
S03, Trade, 73.476, 131, B10, S03, 1
S03, Trade, 74.619, 83, S03, B08, 1
S04, 2
S04, Trade, 75.476, 101, S04, B10, 1
S04, Trade, 86.810, 112, S04, B10, 1
S05, 0
S06, 0
S07, 0
S08, 0
S09, 0
