B00, 0
B01, 0
B02, 0
B03, 0
B04, 3
B04, Trade, 14.190, 84, S03, B04, 1
B04, Trade, 25.381, 76, B04, S01, 1
B04, Trade, 53.762, 83, B04, S00, 1
B05, 8
B05, Trade, 9.095, 109, B05, B08, 1
B05, Trade, 14.333, 84, B05, B09, 1
B05, Trade, 20.238, 114, B05, B10, 1
B05, Trade, 25.190, 126, B05, B10, 1
B05, Trade, 35.571, 139, B05, B10, 1
B05, Trade, 54.524, 130, B05, B09, 1
B05, Trade, 56.619, 121, B05, B09, 1
B05, Trade, 83.667, 137, B05, B10, 1
B06, 2
B06, Trade, 43.381, 105, B06, S01, 1
B06, Trade, 78.286, 99, B06, S04, 1
B07, 9
B07, Trade, 13.476, 119, B07, S05, 1
B07, Trade, 30.333, 120, B07, S03, 1
B07, Trade, 31.429, 120, B07, S00, 1
B07, Trade, 52.571, 57, B07, S00, 1
B07, Trade, 56.000, 53, S00, B07, 1
B07, Trade, 70.571, 114, B07, S01, 1
B07, Trade, 89.762, 117, B07, S03, 1
B07, Trade, 93.905, 91, S02, B07, 1
B07, Trade, 97.905, 52, S00, B07, 1
B08, 6
B08, Trade, 9.095, 109, B05, B08, 1
B08, Trade, 32.381, 108, S00, B08, 1
B08, Trade, 34.095, 116, B08, S04, 1
B08, Trade, 39.619, 107, B08, S03, 1
B08, Trade, 49.857, 107, B08, S03, 1
B08, Trade, 86.619, 63, S00, B08, 1
B09, 8
B09, Trade, 14.333, 84, B05, B09, 1
B09, Trade, 20.143, 86, S03, B09, 1
B09, Trade, 44.952, 70, S01, B09, 1
B09, Trade, 52.238, 128, S06, B09, 1
B09, Trade, 54.524, 130, B05, B09, 1
B09, Trade, 56.619, 121, B05, B09, 1
B09, Trade, 71.667, 115, B09, S03, 1
B09, Trade, 73.190, 119, S04, B09, 1
B10, 18
B10, Trade, 1.000, 75, S02, B10, 1
B10, Trade, 4.000, 110, B10, S02, 1
B10, Trade, 8.667, 109, S05, B10, 1
B10, Trade, 10.190, 128, B10, S07, 1
B10, Trade, 20.238, 114, B05, B10, 1
B10, Trade, 25.190, 126, B05, B10, 1
B10, Trade, 35.571, 139, B05, B10, 1
B10, Trade, 39.238, 135, B10, S01, 1
B10, Trade, 44.714, 101, S00, B10, 1
B10, Trade, 53.143, 106, B10, S01, 1
B10, Trade, 57.333, 147, B10, S03, 1
B10, Trade, 58.286, 116, S03, B10, 1
B10, Trade, 62.524, 117, B10, S02, 1
B10, Trade, 72.333, 95, B10, S01, 1
B10, Trade, 83.667, 137, B05, B10, 1
B10, Trade, 90.905, 87, S02, B10, 1
B10, Trade, 93.952, 103, S00, B10, 1
B10, Trade, 99.810, 63, S01, B10, 1
S00, 9
S00, Trade, 31.429, 120, B07, S00, 1
S00, Trade, 32.381, 108, S00, B08, 1
S00, Trade, 44.714, 101, S00, B10, 1
S00, Trade, 52.571, 57, B07, S00, 1
S00, Trade, 53.762, 83, B04, S00, 1
S00, Trade, 56.000, 53, S00, B07, 1
S00, Trade, 86.619, 63, S00, B08, 1
S00, Trade, 93.952, 103, S00, B10, 1
S00, Trade, 97.905, 52, S00, B07, 1
S01, 8
S01, Trade, 25.381, 76, B04, S01, 1
S01, Trade, 39.238, 135, B10, S01, 1
S01, Trade, 43.381, 105, B06, S01, 1
S01, Trade, 44.952, 70, S01, B09, 1
S01, Trade, 53.143, 106, B10, S01, 1
S01, Trade, 70.571, 114, B07, S01, 1
S01, Trade, 72.333, 95, B10, S01, 1
S01, Trade, 99.810, 63, S01, B10, 1
S02, 5
S02, Trade, 1.000, 75, S02, B10, 1
S02, Trade, 4.000, 110, B10, S02, 1
S02, Trade, 62.524, 117, B10, S02, 1
S02, Trade, 90.905, 87, S02, B10, 1
S02, Trade, 93.905, 91, S02, B07, 1
S03, 9
S03, Trade, 14.190, 84, S03, B04, 1
S03, Trade, 20.143, 86, S03, B09, 1
S03, Trade, 30.333, 120, B07, S03, 1
S03, Trade, 39.619, 107, B08, S03, 1
S03, Trade, 49.857, 107, B08, S03, 1
S03, Trade, 57.333, 147, B10, S03, 1
S03, Trade, 58.286, 116, S03, B10, 1
S03, Trade, 71.667, 115, B09, S03, 1
S03, Trade, 89.762, 117, B07, S03, 1
S04, 3
S04, Trade, 34.095, 116, B08, S04, 1
S04, Trade, 73.190, 119, S04, B09, 1
S04, Trade, 78.286, 99, B06, S04, 1
S05, 2
S05, Trade, 8.667, 109, S05, B10, 1
S05, Trade, 13.476, 119, B07, S05, 1
S06, 1
S06, Trade, 52.238, 128, S06, B09, 1
S07, 1
S07, Trade, 10.190, 128, B10, S07, 1
S08, 0
S09, 0
