Trd, 000070.775, 54
Trd, 000070.925, 53
Trd, 000071.125, 65
Trd, 000071.450, 70
Trd, 000071.750, 67
Trd, 000072.150, 68
Trd, 000072.200, 67
Trd, 000072.475, 67
Trd, 000072.800, 62
Trd, 000073.100, 60
Trd, 000073.600, 54
Trd, 000073.775, 52
Trd, 000073.825, 55
Trd, 000074.350, 55
Trd, 000074.750, 53
Trd, 000074.775, 54
Trd, 000075.075, 54
Trd, 000075.425, 54
Trd, 000075.600, 58
Trd, 000076.150, 56
Trd, 000076.375, 57
Trd, 000076.450, 58
Trd, 000076.625, 56
Trd, 000077.100, 56
Trd, 000077.225, 56
Trd, 000077.650, 55
Trd, 000077.950, 54
Trd, 000078.200, 53
Trd, 000078.350, 53
Trd, 000078.925, 55
Trd, 000079.425, 56
Trd, 000079.700, 56
Trd, 000080.350, 58
Trd, 000080.525, 57
Trd, 000080.625, 57
Trd, 000081.550, 57.0
Trd, 000082.150, 56
Trd, 000082.225, 56
Trd, 000082.250, 57
Trd, 000082.850, 56
Trd, 000082.925, 58.0
Trd, 000083.300, 55
Trd, 000083.725, 53
Trd, 000083.750, 53
Trd, 000083.975, 56
Trd, 000084.275, 55
Trd, 000084.575, 56
Trd, 000084.750, 56
Trd, 000085.450, 63
Trd, 000085.550, 63
Trd, 000086.275, 65
Trd, 000086.450, 65
Trd, 000086.900, 67
Trd, 000086.950, 65
Trd, 000087.125, 64
Trd, 000087.350, 64
Trd, 000087.575, 64
Trd, 000087.650, 63
Trd, 000087.925, 63
Trd, 000088.375, 62
Trd, 000089.100, 48
Trd, 000089.150, 50
Trd, 000090.150, 49
Trd, 000090.375, 59
Trd, 000090.700, 61
Trd, 000090.825, 59
Trd, 000091.000, 58
Trd, 000091.300, 46
Trd, 000091.750, 56
Trd, 000091.950, 57
Trd, 000092.150, 56
Trd, 000092.300, 55
Trd, 000092.950, 55
Trd, 000093.550, 56
Trd, 000093.700, 56
Trd, 000093.800, 55.0
Trd, 000094.525, 55
Trd, 000094.550, 56
Trd, 000094.750, 58.0
Trd, 000095.075, 55
Trd, 000096.000, 55
Trd, 000096.250, 54
Trd, 000097.275, 54
Trd, 000097.550, 55
Trd, 000097.725, 54
Trd, 000098.900, 55
Trd, 000099.200, 54
Trd, 000099.550, 54
Trd, 000100.125, 55
Trd, 000101.025, 59
Trd, 000101.250, 55
Trd, 000101.550, 55
Trd, 000101.775, 56
Trd, 000102.175, 55
Trd, 000102.500, 53
Trd, 000102.600, 54
Trd, 000103.725, 55
Trd, 000103.950, 56.0
Trd, 000104.250, 56
Trd, 000104.525, 56
Trd, 000104.900, 55
Trd, 000105.150, 55
Trd, 000105.700, 55
Trd, 000106.150, 61
Trd, 000106.400, 56.0
Trd, 000106.550, 57
Trd, 000107.350, 60
Trd, 000107.450, 58
Trd, 000107.500, 61
Trd, 000107.725, 59
Trd, 000108.625, 60
Trd, 000108.875, 59
Trd, 000109.125, 59
Trd, 000109.500, 58
Trd, 000110.150, 58
Trd, 000110.200, 67
Trd, 000110.850, 59
Trd, 000111.250, 57
Trd, 000112.250, 59
Trd, 000112.275, 60
Trd, 000113.200, 58
Trd, 000113.225, 57
Trd, 000113.325, 58
Trd, 000113.700, 58
Trd, 000113.975, 57
Trd, 000115.000, 57.0
Trd, 000115.200, 57
Trd, 000115.250, 58
Trd, 000115.600, 56
Trd, 000115.650, 57
Trd, 000115.800, 56
Trd, 000116.350, 50
Trd, 000116.825, 52
Trd, 000117.175, 56
Trd, 000117.275, 53
Trd, 000118.025, 52
Trd, 000118.475, 53
Trd, 000118.625, 52
Trd, 000118.825, 52
Trd, 000119.000, 52
Trd, 000119.075, 53
Trd, 000119.300, 52
Trd, 000119.625, 52
Trd, 000119.950, 52
Trd, 000120.500, 52
Trd, 000120.875, 52
Trd, 000121.400, 53
Trd, 000121.600, 52
Trd, 000121.950, 52
Trd, 000122.350, 54
Trd, 000122.850, 55
Trd, 000123.125, 54
Trd, 000123.850, 55
Trd, 000124.000, 54
Trd, 000124.525, 55
Trd, 000125.250, 57.0
Trd, 000125.650, 64
Trd, 000125.775, 62
Trd, 000126.325, 64
Trd, 000126.500, 63
Trd, 000126.525, 65
Trd, 000126.600, 64
Trd, 000126.650, 63
Trd, 000126.750, 66
Trd, 000127.500, 64
Trd, 000127.650, 64
Trd, 000127.875, 65
Trd, 000128.250, 64
Trd, 000128.350, 64
Trd, 000128.650, 65
Trd, 000128.825, 65
Trd, 000129.475, 65
Trd, 000129.550, 64
Trd, 000129.850, 65
Trd, 000129.975, 64
Trd, 000130.500, 62
Trd, 000130.900, 63
Trd, 000131.025, 63
Trd, 000131.350, 63
Trd, 000131.900, 55.0
Trd, 000132.025, 59
Trd, 000132.400, 58
Trd, 000132.775, 50
Trd, 000132.850, 52
Trd, 000133.100, 49
Trd, 000133.575, 58.0
Trd, 000133.875, 55
Trd, 000133.900, 66
Trd, 000135.025, 58.0
Trd, 000135.050, 59
Trd, 000135.150, 57
Trd, 000135.300, 56
Trd, 000135.325, 56
Trd, 000136.225, 54
Trd, 000136.350, 55
Trd, 000136.925, 52
Trd, 000137.100, 53
Trd, 000137.300, 58.0
Trd, 000138.825, 54
Trd, 000139.475, 54
Trd, 000139.775, 53
Trd, 000140.100, 53
Trd, 000140.450, 52
Trd, 000140.675, 52
Trd, 000140.850, 53
Trd, 000141.000, 53
Trd, 000141.250, 54
Trd, 000141.900, 56
Trd, 000142.050, 84
Trd, 000142.200, 73
Trd, 000142.500, 74
Trd, 000143.050, 71
Trd, 000143.075, 70
Trd, 000143.375, 70
Trd, 000143.500, 74
Trd, 000144.000, 71
Trd, 000144.425, 69
Trd, 000144.525, 70
Trd, 000145.075, 70
Trd, 000145.125, 70
Trd, 000145.175, 69
Trd, 000145.975, 57
Trd, 000146.050, 58
Trd, 000146.125, 60
Trd, 000146.425, 61
Trd, 000147.100, 65
Trd, 000147.150, 64
Trd, 000147.225, 62
Trd, 000147.750, 61
Trd, 000147.900, 60
Trd, 000148.025, 63
Trd, 000148.175, 62
Trd, 000148.700, 62
Trd, 000148.950, 61
Trd, 000149.150, 60
Trd, 000149.250, 60
Trd, 000149.625, 58
Trd, 000149.875, 58
Trd, 000150.875, 62
Trd, 000150.950, 59
Trd, 000151.800, 60
Trd, 000151.850, 60
Trd, 000151.900, 61
Trd, 000152.750, 60
Trd, 000153.125, 60
Trd, 000153.675, 60
Trd, 000153.925, 60
Trd, 000154.000, 59
Trd, 000154.025, 60
Trd, 000154.225, 59
Trd, 000154.375, 60
Trd, 000154.875, 81
Trd, 000155.150, 63
Trd, 000155.675, 63
Trd, 000156.300, 61
Trd, 000156.550, 56
Trd, 000156.700, 61
Trd, 000156.950, 60
Trd, 000157.100, 61
Trd, 000157.175, 60
Trd, 000157.250, 60
Trd, 000157.925, 59
Trd, 000158.175, 60
Trd, 000158.475, 60
Trd, 000158.625, 59
Trd, 000159.900, 58
Trd, 000160.125, 57
Trd, 000160.325, 57
Trd, 000160.475, 57
Trd, 000160.775, 57
Trd, 000161.500, 56
