B00, 0
B01, 0
B02, 10
B02, Trade, 6.952, 74, B02, B04, 1
B02, Trade, 13.238, 120, B02, B10, 1
B02, Trade, 17.810, 146, B02, B10, 1
B02, Trade, 20.429, 133, B02, B10, 1
B02, Trade, 36.762, 133, B02, B10, 1
B02, Trade, 50.524, 137, B02, B10, 1
B02, Trade, 69.143, 145, B02, B10, 1
B02, Trade, 88.333, 124, B02, B09, 1
B02, Trade, 91.381, 124, B02, B08, 1
B02, Trade, 99.762, 117, B02, B10, 1
B03, 1
B03, Trade, 82.190, 79, B03, S00, 1
B04, 1
B04, Trade, 6.952, 74, B02, B04, 1
B05, 1
B05, Trade, 53.810, 82, B05, S00, 1
B06, 3
B06, Trade, 26.619, 107, B06, S02, 1
B06, Trade, 43.476, 81, S01, B06, 1
B06, Trade, 68.000, 105, B06, S00, 1
B07, 9
B07, Trade, 8.619, 99, B07, S02, 1
B07, Trade, 16.143, 84, S01, B07, 1
B07, Trade, 22.952, 117, B07, S00, 1
B07, Trade, 30.667, 97, B07, S03, 1
B07, Trade, 41.762, 115, B07, S02, 1
B07, Trade, 54.810, 78, B07, S00, 1
B07, Trade, 64.048, 76, S02, B07, 1
B07, Trade, 70.190, 111, B07, S02, 1
B07, Trade, 89.048, 92, B07, S01, 1
B08, 9
B08, Trade, 0.476, 63, S00, B08, 1
B08, Trade, 53.190, 68, B08, S01, 1
B08, Trade, 59.429, 82, B08, S00, 1
B08, Trade, 60.905, 106, B08, S00, 1
B08, Trade, 65.905, 108, S03, B08, 1
B08, Trade, 77.143, 103, B08, S02, 1
B08, Trade, 78.619, 96, S04, B08, 1
B08, Trade, 91.381, 124, B02, B08, 1
B08, Trade, 96.286, 79, S02, B08, 1
B09, 10
B09, Trade, 5.714, 131, B09, S02, 1
B09, Trade, 10.524, 117, B09, S03, 1
B09, Trade, 27.905, 130, B09, S06, 1
B09, Trade, 32.619, 115, B09, S00, 1
B09, Trade, 33.905, 123, S01, B09, 1
B09, Trade, 43.333, 89, B09, S03, 1
B09, Trade, 53.381, 122, S02, B09, 1
B09, Trade, 69.619, 103, B09, S01, 1
B09, Trade, 88.333, 124, B02, B09, 1
B09, Trade, 97.048, 99, S01, B09, 1
B10, 20
B10, Trade, 3.000, 140, B10, S05, 1
B10, Trade, 13.238, 120, B02, B10, 1
B10, Trade, 17.810, 146, B02, B10, 1
B10, Trade, 20.429, 133, B02, B10, 1
B10, Trade, 30.429, 104, B10, S00, 1
B10, Trade, 36.762, 133, B02, B10, 1
B10, Trade, 37.952, 88, S03, B10, 1
B10, Trade, 39.524, 75, B10, S00, 1
B10, Trade, 41.905, 94, B10, S00, 1
B10, Trade, 50.524, 137, B02, B10, 1
B10, Trade, 58.000, 128, B10, S06, 1
B10, Trade, 61.905, 135, S01, B10, 1
B10, Trade, 64.810, 117, S06, B10, 1
B10, Trade, 66.000, 116, S05, B10, 1
B10, Trade, 69.143, 145, B02, B10, 1
B10, Trade, 85.714, 112, S05, B10, 1
B10, Trade, 87.190, 108, B10, S02, 1
B10, Trade, 90.048, 103, S03, B10, 1
B10, Trade, 94.810, 91, S02, B10, 1
B10, Trade, 99.762, 117, B02, B10, 1
S00, 12
S00, Trade, 0.476, 63, S00, B08, 1
S00, Trade, 22.952, 117, B07, S00, 1
S00, Trade, 30.429, 104, B10, S00, 1
S00, Trade, 32.619, 115, B09, S00, 1
S00, Trade, 39.524, 75, B10, S00, 1
S00, Trade, 41.905, 94, B10, S00, 1
S00, Trade, 53.810, 82, B05, S00, 1
S00, Trade, 54.810, 78, B07, S00, 1
S00, Trade, 59.429, 82, B08, S00, 1
S00, Trade, 60.905, 106, B08, S00, 1
S00, Trade, 68.000, 105, B06, S00, 1
S00, Trade, 82.190, 79, B03, S00, 1
S01, 8
S01, Trade, 16.143, 84, S01, B07, 1
S01, Trade, 33.905, 123, S01, B09, 1
S01, Trade, 43.476, 81, S01, B06, 1
S01, Trade, 53.190, 68, B08, S01, 1
S01, Trade, 61.905, 135, S01, B10, 1
S01, Trade, 69.619, 103, B09, S01, 1
S01, Trade, 89.048, 92, B07, S01, 1
S01, Trade, 97.048, 99, S01, B09, 1
S02, 11
S02, Trade, 5.714, 131, B09, S02, 1
S02, Trade, 8.619, 99, B07, S02, 1
S02, Trade, 26.619, 107, B06, S02, 1
S02, Trade, 41.762, 115, B07, S02, 1
S02, Trade, 53.381, 122, S02, B09, 1
S02, Trade, 64.048, 76, S02, B07, 1
S02, Trade, 70.190, 111, B07, S02, 1
S02, Trade, 77.143, 103, B08, S02, 1
S02, Trade, 87.190, 108, B10, S02, 1
S02, Trade, 94.810, 91, S02, B10, 1
S02, Trade, 96.286, 79, S02, B08, 1
S03, 6
S03, Trade, 10.524, 117, B09, S03, 1
S03, Trade, 30.667, 97, B07, S03, 1
S03, Trade, 37.952, 88, S03, B10, 1
S03, Trade, 43.333, 89, B09, S03, 1
S03, Trade, 65.905, 108, S03, B08, 1
S03, Trade, 90.048, 103, S03, B10, 1
S04, 1
S04, Trade, 78.619, 96, S04, B08, 1
S05, 3
S05, Trade, 3.000, 140, B10, S05, 1
S05, Trade, 66.000, 116, S05, B10, 1
S05, Trade, 85.714, 112, S05, B10, 1
S06, 3
S06, Trade, 27.905, 130, B09, S06, 1
S06, Trade, 58.000, 128, B10, S06, 1
S06, Trade, 64.810, 117, S06, B10, 1
S07, 0
S08, 0
S09, 0
