B00, 0
B01, 0
B02, 0
B03, 9
B03, Trade, 4.190, 95, B03, B09, 1
B03, Trade, 13.333, 106, B03, B09, 1
B03, Trade, 22.000, 124, B03, B09, 1
B03, Trade, 45.810, 119, B03, B10, 1
B03, Trade, 47.429, 134, B03, B10, 1
B03, Trade, 49.762, 126, B03, B09, 1
B03, Trade, 56.810, 127, B03, B10, 1
B03, Trade, 75.952, 127, B03, B10, 1
B03, Trade, 87.714, 132, B03, B10, 1
B04, 1
B04, Trade, 39.905, 84, S03, B04, 1
B05, 0
B06, 7
B06, Trade, 18.048, 99, B06, S00, 1
B06, Trade, 26.762, 106, B06, S00, 1
B06, Trade, 38.238, 108, B06, S03, 1
B06, Trade, 59.524, 108, B06, S02, 1
B06, Trade, 68.333, 103, B06, S03, 1
B06, Trade, 69.476, 90, B06, S01, 1
B06, Trade, 99.286, 102, S03, B06, 1
B07, 4
B07, Trade, 9.095, 119, B07, S05, 1
B07, Trade, 11.952, 77, S01, B07, 1
B07, Trade, 14.333, 87, S02, B07, 1
B07, Trade, 86.048, 109, B07, S01, 1
B08, 3
B08, Trade, 12.381, 111, S03, B08, 1
B08, Trade, 61.095, 94, S02, B08, 1
B08, Trade, 76.143, 123, B08, S00, 1
B09, 14
B09, Trade, 1.238, 80, S02, B09, 1
B09, Trade, 4.190, 95, B03, B09, 1
B09, Trade, 5.810, 140, B09, S06, 1
B09, Trade, 13.333, 106, B03, B09, 1
B09, Trade, 18.238, 90, B09, S01, 1
B09, Trade, 22.000, 124, B03, B09, 1
B09, Trade, 45.190, 114, B09, S04, 1
B09, Trade, 46.381, 83, B09, S01, 1
B09, Trade, 49.762, 126, B03, B09, 1
B09, Trade, 64.190, 129, S06, B09, 1
B09, Trade, 79.571, 119, B09, S02, 1
B09, Trade, 85.381, 104, S01, B09, 1
B09, Trade, 91.762, 120, S04, B09, 1
B09, Trade, 97.571, 132, B09, S01, 1
B10, 13
B10, Trade, 6.619, 133, B10, S01, 1
B10, Trade, 41.381, 128, B10, S02, 1
B10, Trade, 45.810, 119, B03, B10, 1
B10, Trade, 47.429, 134, B03, B10, 1
B10, Trade, 54.048, 83, S00, B10, 1
B10, Trade, 56.810, 127, B03, B10, 1
B10, Trade, 71.333, 101, B10, S00, 1
B10, Trade, 75.952, 127, B03, B10, 1
B10, Trade, 78.286, 150, B10, S03, 1
B10, Trade, 87.714, 132, B03, B10, 1
B10, Trade, 89.333, 106, B10, S00, 1
B10, Trade, 96.905, 111, B10, S00, 1
B10, Trade, 97.714, 132, B10, S00, 1
S00, 8
S00, Trade, 18.048, 99, B06, S00, 1
S00, Trade, 26.762, 106, B06, S00, 1
S00, Trade, 54.048, 83, S00, B10, 1
S00, Trade, 71.333, 101, B10, S00, 1
S00, Trade, 76.143, 123, B08, S00, 1
S00, Trade, 89.333, 106, B10, S00, 1
S00, Trade, 96.905, 111, B10, S00, 1
S00, Trade, 97.714, 132, B10, S00, 1
S01, 8
S01, Trade, 6.619, 133, B10, S01, 1
S01, Trade, 11.952, 77, S01, B07, 1
S01, Trade, 18.238, 90, B09, S01, 1
S01, Trade, 46.381, 83, B09, S01, 1
S01, Trade, 69.476, 90, B06, S01, 1
S01, Trade, 85.381, 104, S01, B09, 1
S01, Trade, 86.048, 109, B07, S01, 1
S01, Trade, 97.571, 132, B09, S01, 1
S02, 6
S02, Trade, 1.238, 80, S02, B09, 1
S02, Trade, 14.333, 87, S02, B07, 1
S02, Trade, 41.381, 128, B10, S02, 1
S02, Trade, 59.524, 108, B06, S02, 1
S02, Trade, 61.095, 94, S02, B08, 1
S02, Trade, 79.571, 119, B09, S02, 1
S03, 6
S03, Trade, 12.381, 111, S03, B08, 1
S03, Trade, 38.238, 108, B06, S03, 1
S03, Trade, 39.905, 84, S03, B04, 1
S03, Trade, 68.333, 103, B06, S03, 1
S03, Trade, 78.286, 150, B10, S03, 1
S03, Trade, 99.286, 102, S03, B06, 1
S04, 2
S04, Trade, 45.190, 114, B09, S04, 1
S04, Trade, 91.762, 120, S04, B09, 1
S05, 1
S05, Trade, 9.095, 119, B07, S05, 1
S06, 2
S06, Trade, 5.810, 140, B09, S06, 1
S06, Trade, 64.190, 129, S06, B09, 1
S07, 0
S08, 0
S09, 0
