B00, 0
B01, 6
B01, Trade, 22.333, 130, B01, B10, 1
B01, Trade, 31.333, 148, B01, B10, 1
B01, Trade, 45.000, 146, B01, B10, 1
B01, Trade, 52.190, 139, B01, B10, 1
B01, Trade, 72.333, 142, B01, B10, 1
B01, Trade, 91.905, 138, B01, B10, 1
B02, 0
B03, 2
B03, Trade, 10.810, 65, B03, S00, 1
B03, Trade, 63.476, 72, S01, B03, 1
B04, 0
B05, 1
B05, Trade, 10.571, 99, B05, S04, 1
B06, 3
B06, Trade, 27.952, 97, B06, S01, 1
B06, Trade, 29.857, 91, B06, S02, 1
B06, Trade, 71.905, 96, B06, S04, 1
B07, 3
B07, Trade, 15.000, 120, B07, S00, 1
B07, Trade, 27.333, 82, B07, S00, 1
B07, Trade, 64.667, 115, B07, S02, 1
B08, 8
B08, Trade, 6.810, 126, B08, S05, 1
B08, Trade, 7.762, 109, B08, S01, 1
B08, Trade, 21.905, 118, B08, S01, 1
B08, Trade, 31.952, 121, B08, S01, 1
B08, Trade, 50.952, 130, B08, S03, 1
B08, Trade, 51.952, 106, B08, S02, 1
B08, Trade, 68.905, 105, B08, S02, 1
B08, Trade, 90.381, 94, B08, S00, 1
B09, 7
B09, Trade, 5.143, 102, B09, S00, 1
B09, Trade, 18.190, 59, S00, B09, 1
B09, Trade, 32.381, 118, S02, B09, 1
B09, Trade, 38.857, 112, S02, B09, 1
B09, Trade, 44.714, 136, B09, S00, 1
B09, Trade, 58.286, 129, B09, S02, 1
B09, Trade, 67.476, 136, B09, S02, 1
B10, 16
B10, Trade, 10.143, 128, B10, S00, 1
B10, Trade, 11.476, 97, B10, S00, 1
B10, Trade, 14.524, 132, B10, S05, 1
B10, Trade, 19.667, 122, S04, B10, 1
B10, Trade, 22.333, 130, B01, B10, 1
B10, Trade, 29.000, 101, S04, B10, 1
B10, Trade, 31.333, 148, B01, B10, 1
B10, Trade, 45.000, 146, B01, B10, 1
B10, Trade, 52.190, 139, B01, B10, 1
B10, Trade, 71.143, 130, B10, S02, 1
B10, Trade, 72.333, 142, B01, B10, 1
B10, Trade, 77.190, 98, B10, S01, 1
B10, Trade, 90.810, 137, B10, S05, 1
B10, Trade, 91.905, 138, B01, B10, 1
B10, Trade, 94.429, 138, B10, S05, 1
B10, Trade, 96.857, 64, S00, B10, 1
S00, 10
S00, Trade, 5.143, 102, B09, S00, 1
S00, Trade, 10.143, 128, B10, S00, 1
S00, Trade, 10.810, 65, B03, S00, 1
S00, Trade, 11.476, 97, B10, S00, 1
S00, Trade, 15.000, 120, B07, S00, 1
S00, Trade, 18.190, 59, S00, B09, 1
S00, Trade, 27.333, 82, B07, S00, 1
S00, Trade, 44.714, 136, B09, S00, 1
S00, Trade, 90.381, 94, B08, S00, 1
S00, Trade, 96.857, 64, S00, B10, 1
S01, 6
S01, Trade, 7.762, 109, B08, S01, 1
S01, Trade, 21.905, 118, B08, S01, 1
S01, Trade, 27.952, 97, B06, S01, 1
S01, Trade, 31.952, 121, B08, S01, 1
S01, Trade, 63.476, 72, S01, B03, 1
S01, Trade, 77.190, 98, B10, S01, 1
S02, 9
S02, Trade, 29.857, 91, B06, S02, 1
S02, Trade, 32.381, 118, S02, B09, 1
S02, Trade, 38.857, 112, S02, B09, 1
S02, Trade, 51.952, 106, B08, S02, 1
S02, Trade, 58.286, 129, B09, S02, 1
S02, Trade, 64.667, 115, B07, S02, 1
S02, Trade, 67.476, 136, B09, S02, 1
S02, Trade, 68.905, 105, B08, S02, 1
S02, Trade, 71.143, 130, B10, S02, 1
S03, 1
S03, Trade, 50.952, 130, B08, S03, 1
S04, 4
S04, Trade, 10.571, 99, B05, S04, 1
S04, Trade, 19.667, 122, S04, B10, 1
S04, Trade, 29.000, 101, S04, B10, 1
S04, Trade, 71.905, 96, B06, S04, 1
S05, 4
S05, Trade, 6.810, 126, B08, S05, 1
S05, Trade, 14.524, 132, B10, S05, 1
S05, Trade, 90.810, 137, B10, S05, 1
S05, Trade, 94.429, 138, B10, S05, 1
S06, 0
S07, 0
S08, 0
S09, 0
