B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 27.952, 80, B03, S00, 1
B04, 1
B04, Trade, 55.143, 81, B04, S00, 1
B05, 0
B06, 3
B06, Trade, 9.952, 109, B06, S02, 1
B06, Trade, 13.762, 103, B06, S01, 1
B06, Trade, 80.571, 100, B06, S02, 1
B07, 4
B07, Trade, 38.000, 111, S03, B07, 1
B07, Trade, 48.190, 104, S02, B07, 1
B07, Trade, 62.476, 118, B07, S01, 1
B07, Trade, 71.286, 97, B07, S00, 1
B08, 10
B08, Trade, 8.619, 94, S02, B08, 1
B08, Trade, 10.667, 104, B08, S02, 1
B08, Trade, 28.714, 129, B08, S04, 1
B08, Trade, 45.667, 89, S03, B08, 1
B08, Trade, 48.762, 111, B08, S03, 1
B08, Trade, 64.476, 101, S04, B08, 1
B08, Trade, 65.810, 95, B08, S02, 1
B08, Trade, 76.381, 122, B08, S02, 1
B08, Trade, 80.952, 69, S01, B08, 1
B08, Trade, 98.381, 114, B08, S00, 1
B09, 8
B09, Trade, 8.048, 95, B09, S01, 1
B09, Trade, 16.190, 127, B09, S04, 1
B09, Trade, 32.667, 103, S00, B09, 1
B09, Trade, 44.190, 108, B09, S01, 1
B09, Trade, 55.429, 116, B09, S01, 1
B09, Trade, 75.286, 108, B09, S03, 1
B09, Trade, 77.286, 85, B09, S02, 1
B09, Trade, 87.381, 80, S01, B09, 1
B10, 8
B10, Trade, 3.714, 83, B10, S00, 1
B10, Trade, 4.857, 91, B10, S03, 1
B10, Trade, 15.048, 109, B10, S02, 1
B10, Trade, 40.048, 135, B10, S02, 1
B10, Trade, 60.190, 143, B10, S01, 1
B10, Trade, 61.952, 119, S05, B10, 1
B10, Trade, 73.714, 144, B10, S00, 1
B10, Trade, 81.619, 149, B10, S05, 1
S00, 7
S00, Trade, 3.714, 83, B10, S00, 1
S00, Trade, 27.952, 80, B03, S00, 1
S00, Trade, 32.667, 103, S00, B09, 1
S00, Trade, 55.143, 81, B04, S00, 1
S00, Trade, 71.286, 97, B07, S00, 1
S00, Trade, 73.714, 144, B10, S00, 1
S00, Trade, 98.381, 114, B08, S00, 1
S01, 8
S01, Trade, 8.048, 95, B09, S01, 1
S01, Trade, 13.762, 103, B06, S01, 1
S01, Trade, 44.190, 108, B09, S01, 1
S01, Trade, 55.429, 116, B09, S01, 1
S01, Trade, 60.190, 143, B10, S01, 1
S01, Trade, 62.476, 118, B07, S01, 1
S01, Trade, 80.952, 69, S01, B08, 1
S01, Trade, 87.381, 80, S01, B09, 1
S02, 10
S02, Trade, 8.619, 94, S02, B08, 1
S02, Trade, 9.952, 109, B06, S02, 1
S02, Trade, 10.667, 104, B08, S02, 1
S02, Trade, 15.048, 109, B10, S02, 1
S02, Trade, 40.048, 135, B10, S02, 1
S02, Trade, 48.190, 104, S02, B07, 1
S02, Trade, 65.810, 95, B08, S02, 1
S02, Trade, 76.381, 122, B08, S02, 1
S02, Trade, 77.286, 85, B09, S02, 1
S02, Trade, 80.571, 100, B06, S02, 1
S03, 5
S03, Trade, 4.857, 91, B10, S03, 1
S03, Trade, 38.000, 111, S03, B07, 1
S03, Trade, 45.667, 89, S03, B08, 1
S03, Trade, 48.762, 111, B08, S03, 1
S03, Trade, 75.286, 108, B09, S03, 1
S04, 3
S04, Trade, 16.190, 127, B09, S04, 1
S04, Trade, 28.714, 129, B08, S04, 1
S04, Trade, 64.476, 101, S04, B08, 1
S05, 2
S05, Trade, 61.952, 119, S05, B10, 1
S05, Trade, 81.619, 149, B10, S05, 1
S06, 0
S07, 0
S08, 0
S09, 0
