B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 1.810, 89, S00, B04, 1
B05, 2
B05, Trade, 36.857, 100, S03, B05, 1
B05, Trade, 38.905, 86, B05, S02, 1
B06, 0
B07, 7
B07, Trade, 10.143, 105, S03, B07, 1
B07, Trade, 17.952, 119, B07, S02, 1
B07, Trade, 21.714, 115, B07, S04, 1
B07, Trade, 26.524, 97, B07, S01, 1
B07, Trade, 46.048, 120, B07, S02, 1
B07, Trade, 74.476, 88, B07, S00, 1
B07, Trade, 77.571, 73, S02, B07, 1
B08, 6
B08, Trade, 20.286, 84, S02, B08, 1
B08, Trade, 29.048, 119, B08, S01, 1
B08, Trade, 61.190, 127, B08, S00, 1
B08, Trade, 84.667, 93, B08, S00, 1
B08, Trade, 96.381, 122, B08, S01, 1
B08, Trade, 99.476, 122, B08, S02, 1
B09, 4
B09, Trade, 26.381, 129, B09, S05, 1
B09, Trade, 47.381, 112, B09, S01, 1
B09, Trade, 57.000, 116, S04, B09, 1
B09, Trade, 86.048, 132, B09, S01, 1
B10, 17
B10, Trade, 27.429, 83, S00, B10, 1
B10, Trade, 29.238, 99, B10, S02, 1
B10, Trade, 30.619, 135, B10, S03, 1
B10, Trade, 32.000, 140, B10, S02, 1
B10, Trade, 36.048, 136, S04, B10, 1
B10, Trade, 43.810, 80, S01, B10, 1
B10, Trade, 46.714, 130, B10, S00, 1
B10, Trade, 52.190, 111, B10, S00, 1
B10, Trade, 55.238, 134, B10, S03, 1
B10, Trade, 76.476, 117, S05, B10, 1
B10, Trade, 77.810, 142, B10, S05, 1
B10, Trade, 78.048, 135, B10, S01, 1
B10, Trade, 80.286, 116, S05, B10, 1
B10, Trade, 91.667, 140, B10, S02, 1
B10, Trade, 94.667, 119, B10, S02, 1
B10, Trade, 95.810, 75, S01, B10, 1
B10, Trade, 98.905, 112, B10, S04, 1
S00, 7
S00, Trade, 1.810, 89, S00, B04, 1
S00, Trade, 27.429, 83, S00, B10, 1
S00, Trade, 46.714, 130, B10, S00, 1
S00, Trade, 52.190, 111, B10, S00, 1
S00, Trade, 61.190, 127, B08, S00, 1
S00, Trade, 74.476, 88, B07, S00, 1
S00, Trade, 84.667, 93, B08, S00, 1
S01, 8
S01, Trade, 26.524, 97, B07, S01, 1
S01, Trade, 29.048, 119, B08, S01, 1
S01, Trade, 43.810, 80, S01, B10, 1
S01, Trade, 47.381, 112, B09, S01, 1
S01, Trade, 78.048, 135, B10, S01, 1
S01, Trade, 86.048, 132, B09, S01, 1
S01, Trade, 95.810, 75, S01, B10, 1
S01, Trade, 96.381, 122, B08, S01, 1
S02, 10
S02, Trade, 17.952, 119, B07, S02, 1
S02, Trade, 20.286, 84, S02, B08, 1
S02, Trade, 29.238, 99, B10, S02, 1
S02, Trade, 32.000, 140, B10, S02, 1
S02, Trade, 38.905, 86, B05, S02, 1
S02, Trade, 46.048, 120, B07, S02, 1
S02, Trade, 77.571, 73, S02, B07, 1
S02, Trade, 91.667, 140, B10, S02, 1
S02, Trade, 94.667, 119, B10, S02, 1
S02, Trade, 99.476, 122, B08, S02, 1
S03, 4
S03, Trade, 10.143, 105, S03, B07, 1
S03, Trade, 30.619, 135, B10, S03, 1
S03, Trade, 36.857, 100, S03, B05, 1
S03, Trade, 55.238, 134, B10, S03, 1
S04, 4
S04, Trade, 21.714, 115, B07, S04, 1
S04, Trade, 36.048, 136, S04, B10, 1
S04, Trade, 57.000, 116, S04, B09, 1
S04, Trade, 98.905, 112, B10, S04, 1
S05, 4
S05, Trade, 26.381, 129, B09, S05, 1
S05, Trade, 76.476, 117, S05, B10, 1
S05, Trade, 77.810, 142, B10, S05, 1
S05, Trade, 80.286, 116, S05, B10, 1
S06, 0
S07, 0
S08, 0
S09, 0
