B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 90.762, 74, B03, S00, 1
B04, 1
B04, Trade, 53.429, 88, B04, S02, 1
B05, 1
B05, Trade, 9.048, 100, B05, S00, 1
B06, 4
B06, Trade, 3.476, 106, B06, S00, 1
B06, Trade, 44.429, 106, B06, S03, 1
B06, Trade, 45.238, 77, B06, S01, 1
B06, Trade, 72.143, 93, B06, S00, 1
B07, 4
B07, Trade, 9.952, 79, B07, S01, 1
B07, Trade, 22.000, 104, B07, S02, 1
B07, Trade, 58.524, 114, B07, S01, 1
B07, Trade, 97.286, 102, B07, S00, 1
B08, 4
B08, Trade, 51.333, 108, B08, S04, 1
B08, Trade, 67.190, 108, S01, B08, 1
B08, Trade, 72.571, 85, B08, S01, 1
B08, Trade, 88.857, 106, B08, S02, 1
B09, 6
B09, Trade, 26.810, 111, B09, S01, 1
B09, Trade, 32.714, 129, B09, S02, 1
B09, Trade, 46.286, 126, B09, S00, 1
B09, Trade, 79.857, 134, B09, S04, 1
B09, Trade, 89.810, 132, B09, S02, 1
B09, Trade, 92.381, 122, B09, S02, 1
B10, 13
B10, Trade, 2.286, 127, B10, S00, 1
B10, Trade, 10.476, 111, B10, S03, 1
B10, Trade, 23.190, 142, S08, B10, 1
B10, Trade, 25.952, 91, S00, B10, 1
B10, Trade, 34.095, 95, B10, S02, 1
B10, Trade, 39.238, 120, S02, B10, 1
B10, Trade, 46.571, 101, B10, S02, 1
B10, Trade, 47.476, 144, B10, S01, 1
B10, Trade, 61.762, 134, S00, B10, 1
B10, Trade, 69.762, 126, B10, S03, 1
B10, Trade, 73.000, 101, S03, B10, 1
B10, Trade, 87.905, 96, S02, B10, 1
B10, Trade, 91.571, 135, B10, S02, 1
S00, 9
S00, Trade, 2.286, 127, B10, S00, 1
S00, Trade, 3.476, 106, B06, S00, 1
S00, Trade, 9.048, 100, B05, S00, 1
S00, Trade, 25.952, 91, S00, B10, 1
S00, Trade, 46.286, 126, B09, S00, 1
S00, Trade, 61.762, 134, S00, B10, 1
S00, Trade, 72.143, 93, B06, S00, 1
S00, Trade, 90.762, 74, B03, S00, 1
S00, Trade, 97.286, 102, B07, S00, 1
S01, 7
S01, Trade, 9.952, 79, B07, S01, 1
S01, Trade, 26.810, 111, B09, S01, 1
S01, Trade, 45.238, 77, B06, S01, 1
S01, Trade, 47.476, 144, B10, S01, 1
S01, Trade, 58.524, 114, B07, S01, 1
S01, Trade, 67.190, 108, S01, B08, 1
S01, Trade, 72.571, 85, B08, S01, 1
S02, 11
S02, Trade, 22.000, 104, B07, S02, 1
S02, Trade, 32.714, 129, B09, S02, 1
S02, Trade, 34.095, 95, B10, S02, 1
S02, Trade, 39.238, 120, S02, B10, 1
S02, Trade, 46.571, 101, B10, S02, 1
S02, Trade, 53.429, 88, B04, S02, 1
S02, Trade, 87.905, 96, S02, B10, 1
S02, Trade, 88.857, 106, B08, S02, 1
S02, Trade, 89.810, 132, B09, S02, 1
S02, Trade, 91.571, 135, B10, S02, 1
S02, Trade, 92.381, 122, B09, S02, 1
S03, 4
S03, Trade, 10.476, 111, B10, S03, 1
S03, Trade, 44.429, 106, B06, S03, 1
S03, Trade, 69.762, 126, B10, S03, 1
S03, Trade, 73.000, 101, S03, B10, 1
S04, 2
S04, Trade, 51.333, 108, B08, S04, 1
S04, Trade, 79.857, 134, B09, S04, 1
S05, 0
S06, 0
S07, 0
S08, 1
S08, Trade, 23.190, 142, S08, B10, 1
S09, 0
