B00, 0
B01, 0
B02, 0
B03, 9
B03, Trade, 8.048, 115, B03, B08, 1
B03, Trade, 11.381, 127, B03, B09, 1
B03, Trade, 22.952, 132, B03, B10, 1
B03, Trade, 38.381, 118, B03, B10, 1
B03, Trade, 39.762, 130, B03, B10, 1
B03, Trade, 48.571, 144, B03, B10, 1
B03, Trade, 53.381, 127, B03, B10, 1
B03, Trade, 74.381, 136, B03, B10, 1
B03, Trade, 85.762, 126, B03, B09, 1
B04, 1
B04, Trade, 20.667, 68, S01, B04, 1
B05, 2
B05, Trade, 26.048, 79, B05, S00, 1
B05, Trade, 75.286, 63, S01, B05, 1
B06, 3
B06, Trade, 8.524, 79, B06, S00, 1
B06, Trade, 45.524, 104, B06, S00, 1
B06, Trade, 73.762, 79, B06, S02, 1
B07, 6
B07, Trade, 13.524, 97, B07, S03, 1
B07, Trade, 27.190, 107, S01, B07, 1
B07, Trade, 37.476, 93, B07, S03, 1
B07, Trade, 54.190, 104, B07, S01, 1
B07, Trade, 84.095, 103, B07, S00, 1
B07, Trade, 91.095, 92, S02, B07, 1
B08, 5
B08, Trade, 8.048, 115, B03, B08, 1
B08, Trade, 28.000, 103, S04, B08, 1
B08, Trade, 60.619, 128, B08, S00, 1
B08, Trade, 65.095, 123, S05, B08, 1
B08, Trade, 89.857, 83, B08, S00, 1
B09, 13
B09, Trade, 1.524, 98, S03, B09, 1
B09, Trade, 11.381, 127, B03, B09, 1
B09, Trade, 18.905, 123, S05, B09, 1
B09, Trade, 28.333, 86, B09, S01, 1
B09, Trade, 35.000, 105, B09, S00, 1
B09, Trade, 65.857, 107, B09, S00, 1
B09, Trade, 68.238, 100, B09, S00, 1
B09, Trade, 71.476, 71, B09, S00, 1
B09, Trade, 76.381, 98, S02, B09, 1
B09, Trade, 80.571, 131, S01, B09, 1
B09, Trade, 85.762, 126, B03, B09, 1
B09, Trade, 95.810, 85, S01, B09, 1
B09, Trade, 99.190, 119, B09, S01, 1
B10, 19
B10, Trade, 3.476, 141, B10, S07, 1
B10, Trade, 5.333, 104, B10, S03, 1
B10, Trade, 5.905, 142, S05, B10, 1
B10, Trade, 10.143, 102, B10, S00, 1
B10, Trade, 22.952, 132, B03, B10, 1
B10, Trade, 26.524, 98, S03, B10, 1
B10, Trade, 30.762, 93, S03, B10, 1
B10, Trade, 33.095, 110, B10, S02, 1
B10, Trade, 38.381, 118, B03, B10, 1
B10, Trade, 39.762, 130, B03, B10, 1
B10, Trade, 43.000, 59, S00, B10, 1
B10, Trade, 48.571, 144, B03, B10, 1
B10, Trade, 53.381, 127, B03, B10, 1
B10, Trade, 55.571, 134, S04, B10, 1
B10, Trade, 63.714, 137, S02, B10, 1
B10, Trade, 66.524, 111, S04, B10, 1
B10, Trade, 74.381, 136, B03, B10, 1
B10, Trade, 81.714, 55, S00, B10, 1
B10, Trade, 88.476, 148, B10, S00, 1
S00, 14
S00, Trade, 8.524, 79, B06, S00, 1
S00, Trade, 10.143, 102, B10, S00, 1
S00, Trade, 26.048, 79, B05, S00, 1
S00, Trade, 35.000, 105, B09, S00, 1
S00, Trade, 43.000, 59, S00, B10, 1
S00, Trade, 45.524, 104, B06, S00, 1
S00, Trade, 60.619, 128, B08, S00, 1
S00, Trade, 65.857, 107, B09, S00, 1
S00, Trade, 68.238, 100, B09, S00, 1
S00, Trade, 71.476, 71, B09, S00, 1
S00, Trade, 81.714, 55, S00, B10, 1
S00, Trade, 84.095, 103, B07, S00, 1
S00, Trade, 88.476, 148, B10, S00, 1
S00, Trade, 89.857, 83, B08, S00, 1
S01, 8
S01, Trade, 20.667, 68, S01, B04, 1
S01, Trade, 27.190, 107, S01, B07, 1
S01, Trade, 28.333, 86, B09, S01, 1
S01, Trade, 54.190, 104, B07, S01, 1
S01, Trade, 75.286, 63, S01, B05, 1
S01, Trade, 80.571, 131, S01, B09, 1
S01, Trade, 95.810, 85, S01, B09, 1
S01, Trade, 99.190, 119, B09, S01, 1
S02, 5
S02, Trade, 33.095, 110, B10, S02, 1
S02, Trade, 63.714, 137, S02, B10, 1
S02, Trade, 73.762, 79, B06, S02, 1
S02, Trade, 76.381, 98, S02, B09, 1
S02, Trade, 91.095, 92, S02, B07, 1
S03, 6
S03, Trade, 1.524, 98, S03, B09, 1
S03, Trade, 5.333, 104, B10, S03, 1
S03, Trade, 13.524, 97, B07, S03, 1
S03, Trade, 26.524, 98, S03, B10, 1
S03, Trade, 30.762, 93, S03, B10, 1
S03, Trade, 37.476, 93, B07, S03, 1
S04, 3
S04, Trade, 28.000, 103, S04, B08, 1
S04, Trade, 55.571, 134, S04, B10, 1
S04, Trade, 66.524, 111, S04, B10, 1
S05, 3
S05, Trade, 5.905, 142, S05, B10, 1
S05, Trade, 18.905, 123, S05, B09, 1
S05, Trade, 65.095, 123, S05, B08, 1
S06, 0
S07, 1
S07, Trade, 3.476, 141, B10, S07, 1
S08, 0
S09, 0
